t_sec,algo,status,center_deviation_px,angle_deg,time_ms,gt_yaw_deg,gt_x_m,gt_y_m,angle_error_deg,xb_left,xb_right,fpc_left,fpc_right
10.129289,CNN,3,-33.352854,89.385251,4.4151,-178.832172,3.315713,3.261191,nan,nan,nan,nan,nan
10.196778,CNN,3,-33.293085,89.392134,4.3377,-178.869245,3.308724,3.261050,nan,nan,nan,nan,nan
10.262818,CNN,3,-33.058474,89.326464,4.2349,-178.906297,3.301728,3.260914,nan,nan,nan,nan,nan
10.328972,CNN,3,-32.895888,89.279141,4.3507,-178.942407,3.294728,3.260782,nan,nan,nan,nan,nan
10.400852,CNN,3,-32.908752,89.306523,4.2982,-178.976409,3.287723,3.260654,nan,nan,nan,nan,nan
10.467072,CNN,3,-32.893460,89.343563,5.0937,-179.009339,3.280716,3.260530,nan,nan,nan,nan,nan
10.532329,CNN,3,-32.897394,89.376705,4.4325,-179.040349,3.273705,3.260411,nan,nan,nan,nan,nan
10.604120,CNN,3,-33.013822,89.437643,4.2809,-179.068502,3.266693,3.260295,nan,nan,nan,nan,nan
10.669326,CNN,3,-32.681989,89.375074,5.1333,-179.095218,3.259678,3.260182,nan,nan,nan,nan,nan
10.728455,CNN,3,-32.714508,89.407958,4.2412,-179.107748,3.256170,3.260127,nan,nan,nan,nan,nan
10.795349,CNN,3,-32.616267,89.386932,4.2173,-179.128574,3.249154,3.260018,nan,nan,nan,nan,nan
10.870169,CNN,3,-32.563216,89.376177,4.4701,-179.154674,3.238627,3.259860,nan,nan,nan,nan,nan
10.934625,CNN,3,-32.542375,89.375316,4.2408,-179.161626,3.235117,3.259809,nan,nan,nan,nan,nan
10.999922,CNN,3,-32.540608,89.380347,4.5881,-179.169907,3.228098,3.259707,nan,nan,nan,nan,nan
11.068652,CNN,3,-32.583053,89.383668,4.3881,-179.174137,3.221079,3.259605,nan,nan,nan,nan,nan
11.128901,CNN,3,-32.614706,89.386009,4.2611,-179.175239,3.214059,3.259504,nan,nan,nan,nan,nan
11.200257,CNN,3,-32.624069,89.373144,5.2206,-179.172508,3.207038,3.259403,nan,nan,nan,nan,nan
11.267909,CNN,3,-32.685531,89.381184,4.4578,-179.167591,3.200013,3.259301,nan,nan,nan,nan,nan
11.335081,CNN,3,-32.741406,89.377210,4.2661,-179.158313,3.192979,3.259199,nan,nan,nan,nan,nan
11.399420,CNN,3,-32.963463,89.415009,5.0446,-179.143292,3.185885,3.259094,nan,nan,nan,nan,nan
11.464533,CNN,3,-33.268506,89.483288,5.5958,-179.125086,3.178735,3.258986,nan,nan,nan,nan,nan
11.537302,CNN,3,-33.383110,89.493104,4.3102,-179.103961,3.171540,3.258875,nan,nan,nan,nan,nan
11.603987,CNN,3,-33.429612,89.470490,4.4072,-179.077937,3.164308,3.258760,nan,nan,nan,nan,nan
11.668582,CNN,3,-33.495193,89.464239,4.2461,-179.049223,3.157045,3.258642,nan,nan,nan,nan,nan
11.735031,CNN,3,-33.528790,89.407083,4.9117,-179.018873,3.149734,3.258519,nan,nan,nan,nan,nan
11.801162,CNN,3,-33.552728,89.277825,4.4332,-178.986975,3.142225,3.258389,nan,nan,nan,nan,nan
11.873610,CNN,3,-33.610415,89.244743,4.2653,-178.953916,3.134528,3.258251,nan,nan,nan,nan,nan
11.933941,CNN,3,-33.748165,89.249340,4.6635,-178.921706,3.126595,3.258104,nan,nan,nan,nan,nan
11.995504,CNN,3,-34.189704,89.366747,4.3776,-178.892622,3.118220,3.257945,nan,nan,nan,nan,nan
12.065471,CNN,3,-34.260061,89.342164,4.2601,-178.864857,3.109468,3.257774,nan,nan,nan,nan,nan
12.140104,CNN,3,-34.276101,89.264184,5.6915,-178.840941,3.100403,3.257593,nan,nan,nan,nan,nan
12.201856,CNN,3,-34.453860,89.235025,4.2825,-178.823960,3.091081,3.257404,nan,nan,nan,nan,nan
12.270023,CNN,3,-34.880888,89.326928,4.8730,-178.810536,3.081546,3.257207,nan,nan,nan,nan,nan
12.333274,CNN,3,-34.795931,89.277821,4.4782,-178.803522,3.071837,3.257005,nan,nan,nan,nan,nan
12.396664,CNN,3,-34.802750,89.224179,4.2533,-178.803605,3.066925,3.256902,nan,nan,nan,nan,nan
12.462853,CNN,3,-34.899276,89.219879,4.7828,-178.807860,3.057008,3.256696,nan,nan,nan,nan,nan
12.539870,CNN,3,-34.935209,89.211064,4.3599,-178.825192,3.041933,3.256383,nan,nan,nan,nan,nan
12.602401,CNN,3,-34.988065,89.237211,4.2498,-178.835920,3.036865,3.256280,nan,nan,nan,nan,nan
12.669791,CNN,3,-35.046433,89.273837,4.8486,-178.861662,3.026674,3.256074,nan,nan,nan,nan,nan
12.738909,CNN,3,-35.117852,89.336407,4.4258,-178.892125,3.016422,3.255872,nan,nan,nan,nan,nan
12.799779,CNN,3,-35.092734,89.360521,4.2468,-178.931007,3.006119,3.255676,nan,nan,nan,nan,nan
12.878485,CNN,3,-34.919000,89.323458,5.1065,-178.997697,2.990589,3.255393,nan,nan,nan,nan,nan
12.934310,CNN,3,-34.634403,89.254019,4.2948,-179.021507,2.985395,3.255303,nan,nan,nan,nan,nan
13.011517,CNN,3,-34.539645,89.247405,4.6968,-179.071340,2.974987,3.255128,nan,nan,nan,nan,nan
13.070136,CNN,3,-34.550292,89.292992,4.4164,-179.122893,2.964556,3.254963,nan,nan,nan,nan,nan
13.134138,CNN,3,-34.607731,89.456690,4.2746,-179.175387,2.954104,3.254806,nan,nan,nan,nan,nan
13.207305,CNN,3,-34.505349,89.468822,4.9202,-179.228402,2.943637,3.254659,nan,nan,nan,nan,nan
13.271696,CNN,3,-34.417139,89.468408,4.3945,-179.281708,2.933156,3.254521,nan,nan,nan,nan,nan
13.333175,CNN,3,-34.274952,89.465278,4.3428,-179.334898,2.922664,3.254393,nan,nan,nan,nan,nan
13.399918,CNN,3,-34.280093,89.517841,4.9538,-179.387367,2.912162,3.254274,nan,nan,nan,nan,nan
13.470827,CNN,3,-34.406211,89.598220,4.4445,-179.439460,2.901654,3.254165,nan,nan,nan,nan,nan
13.537022,CNN,3,-34.223559,89.677120,4.2984,-179.491027,2.891138,3.254066,nan,nan,nan,nan,nan
13.600803,CNN,3,-33.958306,89.641721,5.2373,-179.541689,2.880618,3.253975,nan,nan,nan,nan,nan
13.668360,CNN,3,-33.798766,89.628347,4.2601,-179.591886,2.870094,3.253895,nan,nan,nan,nan,nan
13.740125,CNN,3,-33.667896,89.619804,4.8166,-179.639326,2.859565,3.253823,nan,nan,nan,nan,nan
13.809361,CNN,3,-33.591866,89.624644,4.4496,-179.681115,2.849034,3.253759,nan,nan,nan,nan,nan
13.871491,CNN,3,-33.749909,89.798690,4.2381,-179.720045,2.838501,3.253704,nan,nan,nan,nan,nan
13.940640,CNN,3,-33.759915,89.855337,5.3292,-179.751724,2.827965,3.253654,nan,nan,nan,nan,nan
14.005385,CNN,3,-33.734843,89.883674,4.3686,-179.771859,2.817428,3.253610,nan,nan,nan,nan,nan
14.072130,CNN,3,-33.724379,89.902040,4.2437,-179.786199,2.806890,3.253569,nan,nan,nan,nan,nan
14.137907,CNN,3,-33.712047,89.916932,5.5240,-179.788905,2.796351,3.253531,nan,nan,nan,nan,nan
14.208580,CNN,3,-33.730887,89.923665,4.2443,-179.776508,2.785812,3.253491,nan,nan,nan,nan,nan
14.270617,CNN,3,-33.696904,89.890232,4.6996,-179.767289,2.780542,3.253470,nan,nan,nan,nan,nan
14.339558,CNN,3,-33.661285,89.854441,4.3954,-179.742503,2.770003,3.253427,nan,nan,nan,nan,nan
14.403722,CNN,3,-33.575317,89.655725,4.2330,-179.697575,2.759465,3.253376,nan,nan,nan,nan,nan
14.470094,CNN,3,-33.724156,89.652573,4.3758,-179.640863,2.748929,3.253316,nan,nan,nan,nan,nan
14.536593,CNN,3,-34.096594,89.715017,4.3424,-179.575904,2.738393,3.253246,nan,nan,nan,nan,nan
14.611518,CNN,3,-34.227309,89.663705,4.2287,-179.497779,2.727860,3.253163,nan,nan,nan,nan,nan
14.667193,CNN,3,-34.319358,89.516741,4.5141,-179.412255,2.717328,3.253064,nan,nan,nan,nan,nan
14.734748,CNN,3,-34.770384,89.566321,4.2650,-179.320438,2.706798,3.252951,nan,nan,nan,nan,nan
14.809348,CNN,3,-35.207138,89.489602,4.2046,-179.217510,2.696270,3.252819,nan,nan,nan,nan,nan
14.869773,CNN,3,-35.386193,89.442920,4.5710,-179.108535,2.685744,3.252668,nan,nan,nan,nan,nan
14.939489,CNN,3,-35.546204,89.275680,4.2796,-178.999424,2.675220,3.252496,nan,nan,nan,nan,nan
15.005054,CNN,3,-36.049963,89.272310,4.2546,-178.898474,2.664697,3.252306,nan,nan,nan,nan,nan
15.076301,CNN,3,-36.149228,89.142916,4.4197,-178.801911,2.654174,3.252097,nan,nan,nan,nan,nan
15.142955,CNN,3,-36.723244,89.160867,4.2247,-178.714077,2.643651,3.251871,nan,nan,nan,nan,nan
15.201640,CNN,3,-36.878439,89.051850,4.2428,-178.645242,2.633128,3.251630,nan,nan,nan,nan,nan
15.269173,CNN,3,-37.064540,89.024561,4.9840,-178.586376,2.622603,3.251378,nan,nan,nan,nan,nan
15.340028,CNN,3,-37.200446,88.938206,4.2502,-178.540319,2.612078,3.251114,nan,nan,nan,nan,nan
15.407834,CNN,3,-37.643205,88.952779,4.2361,-178.514512,2.601551,3.250844,nan,nan,nan,nan,nan
15.468662,CNN,3,-37.771447,88.948870,4.3422,-178.499092,2.591022,3.250570,nan,nan,nan,nan,nan
15.535555,CNN,3,-37.871901,88.950745,4.2316,-178.495937,2.580492,3.250294,nan,nan,nan,nan,nan
15.604182,CNN,3,-37.875411,88.921294,4.2500,-178.509532,2.569961,3.250018,nan,nan,nan,nan,nan
